id,buName,dpId,dpName,profitCenter
2320,Aviation,10702,"GERMANWINGS GMBH 10702",3058
2321,Aviation,10703,"AUSTRIAN AIRLINES AG 10703",3059
2322,Aviation,10704,"SCANDINAVIAN AIRLINES SYSTEM DENMARK-NORWAY-SWEDEN 10704",3075
2323,"US Government",20000,"ACES REGIONAL SERVICES CO., LTD ATTN: MR. AMNUAY PONGSAJARU",4020
2324,"US Government",20001,"VODAFONE ROAMING SERVICES S.A.R.L",4020
2325,"US Government",40000,"APPLIED SATELLITE TECHNOLOGY SA (PTY) LTD",4020
2326,"US Government",99999996,"DP SERVICE PROVIDER",4020
2327,"US Government",99999997,"DP END USER",4020
2328,Aviation,10586,"BHARAT SANCHAR NIGAM LIMITED",3012
2335,"Global Government",10586,"BHARAT SANCHAR NIGAM LIMITED",4500
2337,Maritime,10586,"BHARAT SANCHAR NIGAM LIMITED",1328
2339,"US Government",10586,"BHARAT SANCHAR NIGAM LIMITED",4020
2340,"Enterprise SD - AgriTech",10586,"BHARAT SANCHAR NIGAM LIMITED",2536
2341,"Enterprise SD - Media",10586,"BHARAT SANCHAR NIGAM LIMITED",2532
2343,"Enterprise SD - FinTech",10586,"BHARAT SANCHAR NIGAM LIMITED",2538
2344,"Enterprise SD - Resources",10586,"BHARAT SANCHAR NIGAM LIMITED",2533
2345,"Enterprise SD - BYOD",10586,"BHARAT SANCHAR NIGAM LIMITED",2539
2346,"Enterprise SD - NGO",10586,"BHARAT SANCHAR NIGAM LIMITED",2534
2348,"Enterprise SD - Mining / Construction",10586,"BHARAT SANCHAR NIGAM LIMITED",2535
2350,"Enterprise SD - Integrated Transport",10586,"BHARAT SANCHAR NIGAM LIMITED",2537
2353,"Enterprise SD - Other business",10586,"BHARAT SANCHAR NIGAM LIMITED",2541
2354,"Global Government",10740,ECLIPSE,4500
2355,Maritime,10740,ECLIPSE,1300
2356,"US Government",10740,ECLIPSE,4020
2357,Aviation,10740,ECLIPSE,3012
2358,"Enterprise SD - Media",10740,ECLIPSE,2532
2359,"Enterprise SD - Resources",10740,ECLIPSE,2533
2360,"Enterprise SD - NGO",10740,ECLIPSE,2534
2361,"Enterprise SD - Mining / Construction",10740,ECLIPSE,2535
2362,"Enterprise SD - AgriTech",10740,ECLIPSE,2536
2363,"Enterprise SD - Integrated Transport",10740,ECLIPSE,2537
2364,"Enterprise SD - FinTech",10740,ECLIPSE,2538
2365,"Enterprise SD - Other business",10740,ECLIPSE,2541
2366,"Global Government",10736,"Wireless Innovation Limited",4500
2367,Maritime,10736,"Wireless Innovation Limited",1300
2368,"US Government",10736,"Wireless Innovation Limited",4020
2369,Aviation,10736,"Wireless Innovation Limited",3012
2370,"Enterprise SD - Media",10736,"Wireless Innovation Limited",2532
2371,"Enterprise SD - Resources",10736,"Wireless Innovation Limited",2533
2372,"Enterprise SD - NGO",10736,"Wireless Innovation Limited",2534
2373,"Enterprise SD - Mining / Construction",10736,"Wireless Innovation Limited",2535
2374,"Enterprise SD - AgriTech",10736,"Wireless Innovation Limited",2536
2375,"Enterprise SD - Integrated Transport",10736,"Wireless Innovation Limited",2537
2376,"Enterprise SD - FinTech",10736,"Wireless Innovation Limited",2538
2377,"Enterprise SD - Other business",10736,"Wireless Innovation Limited",2541
2378,Aviation,10356,"INMARSAT AUSTRALIA PTY LIMITED 10356",5505
2379,Maritime,10356,"INMARSAT AUSTRALIA PTY LIMITED 10356",5505
2380,Enterprise,10356,"INMARSAT AUSTRALIA PTY LIMITED 10356",5505
2381,"Global Government",10356,"INMARSAT AUSTRALIA PTY LIMITED 10356",5505
2382,"US Government",10356,"INMARSAT AUSTRALIA PTY LIMITED 10356",5505
2383,"Enterprise SD - Media",10748,"INVISION TEST LIMITED",2532
2384,"Enterprise SD - Resources",10748,"INVISION TEST LIMITED",2533
2385,"Enterprise SD - NGO",10748,"INVISION TEST LIMITED",5505
2386,"Enterprise SD - AgriTech",10748,"INVISION TEST LIMITED",5505
2387,"Enterprise SD - FinTech",10748,"INVISION TEST LIMITED",5505
2388,"Enterprise SD - BYOD",10748,"INVISION TEST LIMITED",5505
2389,"Global Government",10748,"INVISION TEST LIMITED",5505
2390,Maritime,10748,"INVISION TEST LIMITED",5505
2391,"US Government",10748,"INVISION TEST LIMITED",4020
2392,Aviation,10748,"INVISION TEST LIMITED",3012
2393,"Enterprise SD - Mining/Construction",10748,"INVISION TEST LIMITED",5505
2394,"Enterprise SD - Integrated Transport",10748,"INVISION TEST LIMITED",5505
2395,"Enterprise SD - Other business",10748,"INVISION TEST LIMITED",2541
2396,"Enterprise Carrier",10748,"INVISION TEST LIMITED",2542
2397,"Enterprise Industry",10748,"INVISION TEST LIMITED",2542
2398,"Enterprise Energy",10748,"INVISION TEST LIMITED",2542
